Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,Country,"67,081,234","701,897","730,219","759,354","783,321","807,539","806,745","813,073","830,700","855,000","841,895","826,080","817,287","823,732","796,700","781,315","752,712","740,693","722,928","717,252","750,095","778,930","810,303","827,261","856,602","860,062","858,738","884,489","887,131","914,604","931,668","914,186","905,920","913,691","891,015","897,163","894,424","872,466","878,205","876,420","882,585","882,352","846,976","790,568","778,286","793,361","807,777","821,621","857,254","894,159","923,156","901,680","923,655","923,357","934,714","932,611","938,738","928,163","906,643","884,567","852,740","816,209","796,532","777,771","747,241","718,065","689,198","687,334","674,764","651,687","652,398","660,817","672,642","702,415","753,009","575,023","549,939","540,477","494,925","435,050","383,368","386,890","373,288","350,944","322,102","292,999","264,997","231,822","206,428","185,189","161,430","609,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,GREAT BRITAIN,Country,"65,185,724","679,949","707,375","735,831","759,033","782,406","781,788","788,058","805,285","828,652","815,756","800,239","791,126","797,515","771,738","757,479","729,523","717,775","700,554","694,916","729,044","757,338","787,678","804,761","833,762","837,295","835,880","861,037","863,596","889,805","906,493","889,121","880,885","888,368","865,467","871,552","869,245","847,524","853,578","851,917","857,484","857,286","822,874","767,550","755,420","770,469","784,500","797,723","832,394","868,947","897,464","875,953","897,689","896,933","908,493","906,366","912,069","902,013","881,162","859,731","828,373","792,963","774,040","755,706","726,142","697,947","670,112","668,622","656,553","634,282","635,119","643,686","655,795","685,799","736,575","559,989","535,276","526,259","481,514","423,192","372,984","377,171","363,738","342,324","313,997","285,821","258,489","226,198","201,222","180,762","157,634","595,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,ENGLAND AND WALES,Country,"59,719,724","631,314","656,313","682,886","704,584","725,691","724,207","730,120","746,114","767,986","753,209","740,601","729,825","736,497","713,101","699,992","672,530","661,885","646,305","640,353","668,619","693,691","721,232","736,190","762,062","765,904","764,774","788,010","788,741","810,749","827,333","812,854","805,114","812,584","792,059","798,713","797,036","777,501","782,912","780,269","786,364","787,589","755,805","705,290","694,362","706,187","719,969","732,061","762,815","795,255","821,004","800,576","819,346","817,221","828,361","826,817","829,962","820,880","800,342","781,015","751,805","719,099","701,008","684,916","657,520","631,686","607,106","606,768","596,365","576,571","577,445","586,144","597,525","626,322","673,067","512,956","491,503","482,469","440,549","386,545","339,949","344,349","332,721","313,223","287,709","261,753","236,742","207,218","184,755","165,926","145,102","551,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,Country,"56,550,138","601,913","625,476","650,226","671,016","690,816","689,190","694,734","709,940","730,548","715,046","703,087","692,873","698,821","676,773","664,025","637,756","628,023","613,025","606,611","630,456","653,155","679,487","694,216","720,400","725,264","725,111","745,909","747,190","768,513","784,770","771,964","764,738","773,176","753,953","760,821","758,955","741,034","745,909","743,814","748,497","749,883","720,148","672,256","661,208","672,808","685,301","696,231","724,675","754,435","777,997","758,905","775,715","774,083","784,116","782,532","784,299","775,320","756,023","736,939","709,201","677,962","660,419","644,896","618,893","594,643","571,143","569,908","559,844","541,297","542,108","550,059","560,762","587,908","632,852","482,547","461,855","453,442","413,706","362,412","318,577","323,778","313,081","294,838","271,063","246,429","223,058","195,010","173,861","156,497","136,917","521,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,Region,"2,680,763","25,311","26,882","27,877","28,895","29,813","29,512","30,386","31,170","32,135","32,174","31,686","30,906","31,329","30,258","30,424","28,652","28,362","27,866","28,328","33,383","35,284","36,140","35,693","34,704","34,348","34,051","35,187","35,692","37,513","37,376","35,409","34,327","34,349","33,447","34,356","33,596","32,214","32,390","31,974","32,209","32,440","31,195","28,175","27,343","28,938","29,171","29,789","31,856","34,635","36,572","35,223","35,714","36,388","37,571","38,163","39,187","38,652","38,852","38,314","36,658","35,494","35,760","35,487","33,725","32,222","30,802","30,557","30,112","28,805","28,903","29,297","29,715","30,809","33,023","24,663","23,451","22,422","19,734","17,906","16,386","16,625","16,170","15,310","14,109","12,247","11,364","9,734","8,646","7,607","6,658","22,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000047,County Durham,Unitary Authority,"533,149","4,727","4,923","5,145","5,326","5,537","5,627","5,891","6,059","6,045","6,327","6,235","5,837","6,126","5,947","5,879","5,646","5,365","5,337","5,452","7,548","8,251","8,244","7,452","6,748","6,371","6,450","6,601","6,793","7,155","7,102","6,577","6,039","5,998","5,835","6,407","6,374","6,005","6,461","6,168","6,187","6,208","5,916","5,490","5,286","5,550","5,682","5,840","6,474","6,886","7,557","7,168","7,544","7,742","7,866","7,946","8,102","8,134","7,899","7,812","7,423","7,030","7,283","7,125","6,835","6,572","6,446","6,207","6,299","5,985","6,115","6,177","6,309","6,374","7,034","5,250","5,161","4,953","4,261","3,806","3,488","3,429","3,297","3,094","2,926","2,405","2,251","1,919","1,623","1,373","1,280","4,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000005,Darlington,Unitary Authority,"107,402","1,057","1,113","1,173","1,119","1,230","1,212","1,276","1,332","1,378","1,311","1,370","1,350","1,305","1,293","1,356","1,247","1,287","1,224","1,111",860,850,"1,038","1,097","1,167","1,170","1,216","1,303","1,148","1,289","1,385","1,309","1,315","1,359","1,343","1,343","1,306","1,354","1,223","1,304","1,375","1,384","1,395","1,211","1,186","1,236","1,319","1,379","1,366","1,468","1,537","1,572","1,478","1,507","1,540","1,679","1,621","1,478","1,588","1,540","1,504","1,355","1,412","1,416","1,288","1,314","1,175","1,173","1,193","1,130","1,147","1,147","1,217","1,226","1,359","1,043",997,930,785,736,684,708,745,659,568,546,523,400,406,337,266,"1,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,Hartlepool,Unitary Authority,"93,836",972,"1,008","1,012","1,036","1,119","1,055","1,125","1,154","1,207","1,233","1,234","1,213","1,203","1,180","1,152","1,092","1,041","1,072",979,942,971,947,"1,000","1,118","1,126","1,177","1,204","1,157","1,310","1,274","1,179","1,187","1,294","1,286","1,217","1,188","1,113","1,102","1,158","1,110","1,106","1,060",943,970,976,980,979,"1,169","1,172","1,335","1,249","1,246","1,276","1,430","1,393","1,438","1,376","1,398","1,422","1,369","1,228","1,334","1,191","1,188","1,090","1,108",976,"1,065","1,049",974,"1,034","1,045","1,052","1,082",838,770,684,601,601,498,562,525,554,513,428,421,336,329,274,204,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000002,Middlesbrough,Unitary Authority,"141,285","1,772","1,811","1,945","1,999","1,904","1,952","1,956","1,993","1,989","1,950","1,898","1,793","1,794","1,744","1,802","1,653","1,625","1,549","1,579","1,861","1,965","2,091","2,169","2,274","2,242","2,120","2,240","2,340","2,276","2,148","2,131","2,155","2,077","1,789","1,911","1,829","1,788","1,742","1,653","1,627","1,547","1,487","1,428","1,351","1,481","1,511","1,486","1,565","1,602","1,756","1,689","1,566","1,661","1,674","1,790","1,925","1,775","1,786","1,911","1,739","1,669","1,677","1,680","1,628","1,551","1,487","1,390","1,405","1,249","1,241","1,249","1,206","1,290","1,339","1,023",955,902,868,796,725,708,675,712,613,566,516,434,391,286,304,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000057,Northumberland,Unitary Authority,"323,820","2,455","2,765","3,034","3,045","3,207","3,070","3,169","3,373","3,472","3,522","3,552","3,487","3,668","3,363","3,510","3,376","3,467","3,266","3,237","2,574","2,490","2,642","2,781","3,098","3,242","3,191","3,043","3,201","3,416","3,435","3,333","3,406","3,554","3,401","3,427","3,588","3,410","3,411","3,584","3,560","3,806","3,796","3,360","3,312","3,469","3,583","3,645","3,941","4,216","4,656","4,397","4,577","4,666","4,903","4,934","5,352","5,351","5,241","5,191","5,164","5,222","5,192","5,077","4,849","4,727","4,522","4,596","4,442","4,427","4,503","4,517","4,598","4,902","5,069","3,772","3,693","3,513","3,117","2,671","2,492","2,426","2,308","2,114","2,021","1,769","1,661","1,392","1,227","1,110",946,"3,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,Unitary Authority,"137,228","1,286","1,326","1,376","1,527","1,439","1,526","1,598","1,703","1,700","1,762","1,583","1,563","1,611","1,580","1,653","1,472","1,496","1,406","1,385","1,193","1,233","1,306","1,427","1,522","1,513","1,574","1,608","1,591","1,789","1,621","1,623","1,626","1,620","1,645","1,694","1,631","1,555","1,439","1,518","1,554","1,533","1,401","1,362","1,273","1,430","1,391","1,483","1,628","1,783","1,787","1,821","1,925","1,885","2,055","2,163","2,068","2,055","2,170","2,123","1,958","1,942","1,936","1,961","1,776","1,757","1,614","1,715","1,662","1,594","1,602","1,630","1,734","1,732","1,937","1,556","1,444","1,373","1,162","1,173","1,023","1,029","1,002",897,852,720,650,542,482,430,368,"1,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,Unitary Authority,"197,419","2,001","2,162","2,150","2,382","2,382","2,496","2,443","2,581","2,690","2,711","2,668","2,650","2,664","2,538","2,512","2,380","2,360","2,251","2,120","1,638","1,520","1,683","1,714","2,049","2,213","2,320","2,496","2,491","2,804","2,681","2,692","2,546","2,644","2,586","2,776","2,796","2,705","2,562","2,610","2,541","2,588","2,403","2,203","2,166","2,252","2,234","2,358","2,324","2,710","2,712","2,767","2,700","2,790","2,854","2,854","2,794","2,794","2,887","2,881","2,690","2,607","2,476","2,523","2,476","2,220","2,130","2,196","2,135","2,055","1,982","1,998","1,989","2,093","2,237","1,672","1,523","1,533","1,311","1,234","1,131","1,109","1,111","1,026",924,848,780,632,609,604,496,"1,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,146,624","11,041","11,774","12,042","12,461","12,995","12,574","12,928","12,975","13,654","13,358","13,146","13,013","12,958","12,613","12,560","11,786","11,721","11,761","12,465","16,767","18,004","18,189","18,053","16,728","16,471","16,003","16,692","16,971","17,474","17,730","16,565","16,053","15,803","15,562","15,581","14,884","14,284","14,450","13,979","14,255","14,268","13,737","12,178","11,799","12,544","12,471","12,619","13,389","14,798","15,232","14,560","14,678","14,861","15,249","15,404","15,887","15,689","15,883","15,434","14,811","14,441","14,450","14,514","13,685","12,991","12,320","12,304","11,911","11,316","11,339","11,545","11,617","12,140","12,966","9,509","8,908","8,534","7,629","6,889","6,345","6,654","6,507","6,254","5,692","4,965","4,562","4,079","3,579","3,193","2,794","9,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000037,Gateshead,Metropolitan District,"201,950","1,933","2,000","1,969","2,126","2,146","2,228","2,263","2,146","2,297","2,444","2,323","2,381","2,141","2,276","2,206","2,089","2,036","2,197","2,264","2,331","2,091","2,115","2,351","2,456","2,856","2,762","2,726","2,688","2,757","2,711","2,605","2,648","2,937","2,733","2,938","2,819","2,821","2,866","2,626","2,640","2,671","2,524","2,410","2,269","2,316","2,297","2,237","2,313","2,823","2,816","2,667","2,636","2,725","2,929","2,856","2,893","2,769","2,941","2,824","2,732","2,624","2,560","2,565","2,502","2,206","2,212","2,136","2,034","1,951","2,006","2,152","2,120","2,281","2,433","1,723","1,756","1,668","1,432","1,320","1,319","1,321","1,334","1,235","1,141",943,918,789,736,632,520,"1,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,Metropolitan District,"306,824","3,050","3,254","3,214","3,338","3,527","3,297","3,396","3,576","3,592","3,514","3,462","3,315","3,373","3,191","3,128","2,878","2,879","2,938","3,809","8,537","9,928","9,843","8,657","6,809","5,943","5,701","5,959","6,056","6,056","6,169","5,675","4,859","4,359","4,267","4,187","3,717","3,613","3,843","3,576","3,358","3,440","3,208","2,790","2,826","3,073","2,956","2,970","3,087","3,236","3,412","3,141","3,255","3,227","3,221","3,330","3,348","3,323","3,367","3,383","3,101","3,105","3,137","3,171","2,821","2,899","2,596","2,534","2,445","2,317","2,265","2,421","2,367","2,405","2,679","1,887","1,779","1,683","1,522","1,372","1,283","1,346","1,366","1,253","1,203","1,058","1,011",897,768,700,666,"2,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000022,North Tyneside,Metropolitan District,"208,871","2,033","2,277","2,277","2,281","2,388","2,291","2,443","2,386","2,343","2,465","2,477","2,437","2,482","2,286","2,480","2,313","2,199","2,159","2,076","1,724","1,624","1,698","2,088","2,250","2,270","2,112","2,303","2,396","2,527","2,573","2,382","2,640","2,714","2,883","2,797","2,862","2,764","2,760","2,770","3,050","3,001","2,964","2,451","2,480","2,580","2,576","2,634","2,752","3,061","2,974","2,947","2,909","2,905","2,961","3,007","3,190","3,145","3,174","2,963","2,841","2,741","2,741","2,811","2,608","2,526","2,466","2,519","2,463","2,289","2,292","2,290","2,300","2,517","2,628","1,995","1,798","1,807","1,538","1,338","1,161","1,322","1,216","1,222","1,050",968,906,787,708,622,511,"1,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000023,South Tyneside,Metropolitan District,"151,133","1,455","1,519","1,671","1,645","1,840","1,667","1,721","1,756","1,820","1,764","1,745","1,752","1,765","1,653","1,679","1,629","1,613","1,561","1,517","1,361","1,404","1,481","1,573","1,758","1,783","1,824","1,886","1,943","1,904","1,974","1,974","1,973","1,975","2,064","2,047","2,017","1,801","1,725","1,798","1,935","1,890","1,818","1,547","1,491","1,601","1,628","1,732","1,808","1,967","2,034","2,025","2,151","2,118","2,206","2,327","2,363","2,328","2,341","2,256","2,249","2,223","2,185","2,146","2,002","1,911","1,828","1,862","1,774","1,621","1,683","1,690","1,717","1,763","1,810","1,420","1,232","1,203","1,112","1,003",905,926,919,894,869,705,627,579,511,447,378,"1,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000024,Sunderland,Metropolitan District,"277,846","2,570","2,724","2,911","3,071","3,094","3,091","3,105","3,111","3,602","3,171","3,139","3,128","3,197","3,207","3,067","2,877","2,994","2,906","2,799","2,814","2,957","3,052","3,384","3,455","3,619","3,604","3,818","3,888","4,230","4,303","3,929","3,933","3,818","3,615","3,612","3,469","3,285","3,256","3,209","3,272","3,266","3,223","2,980","2,733","2,974","3,014","3,046","3,429","3,711","3,996","3,780","3,727","3,886","3,932","3,884","4,093","4,124","4,060","4,008","3,888","3,748","3,827","3,821","3,752","3,449","3,218","3,253","3,195","3,138","3,093","2,992","3,113","3,174","3,416","2,484","2,343","2,173","2,025","1,856","1,677","1,739","1,672","1,650","1,429","1,291","1,100","1,027",856,792,719,"1,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST,Region,"7,367,456","78,513","82,043","84,077","87,364","89,807","89,619","90,532","91,422","94,123","92,572","90,601","89,737","90,742","88,109","87,056","83,873","81,788","79,603","79,779","84,030","87,983","92,353","92,352","95,875","95,488","94,712","96,773","98,429","102,627","104,380","101,024","98,784","98,796","94,940","96,272","96,356","93,245","93,610","92,593","91,723","92,217","87,817","81,509","79,590","82,725","84,663","86,766","91,387","97,497","101,540","99,197","102,613","101,556","102,922","102,188","104,047","103,123","100,892","100,112","95,685","91,361","88,944","87,031","84,015","79,958","76,407","76,196","75,518","72,600","73,550","74,408","75,600","79,749","85,644","62,977","59,784","59,510","54,499","48,589","43,784","43,347","41,425","39,184","35,307","32,111","28,595","24,653","21,660","19,529","16,974","62,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
